Country,GDP per capita (USD),Life satisfaction;;
Afghanistan;20.584.001;36.315
Albania;12.770.964;4.586
Algeria;11.737.401;52.946
Angola;73.108.965;37.948
Argentina;23.597.117;6.388
Armenia;12115.14;43.206
Australia;48398.55;72.721
Austria;54172.99;71.394
Azerbaijan;14.121.407;52.006
Bangladesh;4.160.703;45.004
Belgium;50442.27;7.113.178
Bolivia;8.423.697;57.519
Brasil;14.524.613;64.189
Bulgaria;21.469.945;49.331
Canada;48.317.176;73.285
Central African Republic;91.280.304;3.083
Chile;24.470.703;64.762
China;14.243.532;52.458
Colombia;14171.32;62.601
Congo;42.346.597;45.587
Costa Rica;20.347.035;70.717
Croatia;27.154.084;53.212
Denmark;55356.68;75.553
Ecuador;11.617.912;59.732
Egypt;11.014.486;44.192
El Salvador;8.454.052;61.668
Estonia;33.821.934;57.392
Finland;47.570.133;76.321
France;44.577.066;64.893
Georgia;13.589.707;43.405
Germany;53.071.457;69.647
Ghana;51.159.067;4.657
Greece;28.604.861;53.579
Guatemala;8.322.217;63.819
Haiti;31.532.993;3.582
Honduras;55.619.946;5.504
Hong Kong;59849.25;54.304
India;6.182.922;41.898
Indonesia;10.935.632;50.926
